###############
#### ADMIN ####
###############
"GDPR","GDPR"
"Customer status","Κατάσταση πελάτη"
"Newsletter status","Κατάσταση newsletter"
"Complex password (Cnil)","Σύνθετο συνθηματικό (Cnil)"
"Customer password reset","Επαναφορά συνθηματικού πελάτη"
"Secure multi try log in","Ασφάλιση πολλαπλών προσπαθειών σύνδεσης"
"Remove account request","Αίτημα διαγραφής λογαριασμού"
"Download own information","Αίτημα λήψης προσωπικών δεδομένων"
"Functionality","Λειτουργικότητα"
"Enable password CNIL format validation","Ενεργοποίηση ελέγχου μορφοποίησης συνθηματικού CNIL"
"Enable login limit attemps","Ενεργοποίηση ορίου προσπαθειών σύνδεσης"
"Valid rules","Έγκυροι κανόνες"
"Customer complex password","Σύνθετο συνθηματικό πελάτη"
"No","Όχι"
"Yes","Ναι"
"Valid","Έγκυρο"
"Wait manual validation","Αναμονή αμφίδρομης έγκρισης"
"No valid","Άκυρο"
"Customer multi login attempts limit","Όριο πολλαπλών προσπαθειών σύνδεσης για τον πελάτη"
"Customer download own information","Λήψη προσωπικών δεδομένων πελάτη"
"Customer data remove information","Διαγραφή προσωπικών δεδομένων πελάτη"
"Customer data [REMOVE]","Προσωπικά δεδομένα πελάτη [ΔΙΑΓΡΑΦΗ]"
"Enable customer data remove","Ενεργοποίηση διαγραφής προσωπικών δεδομένων πελάτη"
"Enable password confirmation before delete account","Ενεργοποίηση επιβεβαίωσης συνθηματικού πριν την διαγραφή του λογαριασμού"
"Remove account data with queue system","Διαγραφή δεδομένων λογαριασμού με σύστημα ουράς"
"Enable unsubscribe and remove customer from newsletter","Ενεργοποίηση διαγραφής από το newsletter και αφαίρεση του πελάτη από τη λίστα."
"Enable remove customer quotes","Ενεργοποίηση διαγραφής προσφορών πελάτη"
"Enable anonymize customer orders","Ενεργοποίηση ανωνυμοποίησης των παραγγελιών του πελάτη"
"Enable anonymize customer product reviews","Ενεργοποίηση ανωνυμοποίησης των κριτικών του πελάτη"
"Enable remove customer account","Ενεργοποίηση διαγραφής του λογαριασμού του πελάτη"
"Lock account message","Μήνυμα κλειδώματος λογαριασμού"
"If disabled, only lock customer account","Αν είναι απενεργοποιημένο, τότε μόνο κλείδωσε τον λογαριασμό του πελάτη"
"Display when the customer try to log","Εμφάνιση όταν ο πελάτης προσπαθεί να συνδεθεί"
"Email configuration","Ρυθμίσεις Email"
"Email confirm account delete","Email επιβεβαίωσης διαγραφής λογαριασμού"
"Email sender","Αποστολέας Email"
"Name sender","Όνομα αποστολέα"
"Message configuration","Ρυθμίσεις μηνύματος"
"Account deleted success message","Μήνυμα επιτυχίας διαγραφής λογαριασμού"
"Customer data [DOWNLOAD]","Προσωπικά δεδομένα πελάτη [ΛΗΨΗ]"
"Enable customer data download","Ενεργοποίηση λήψης προσωπικών δεδομένων πελάτη"
"Download data with queue system","Λήψη προσωπικών δεδομένων πελάτη με σύστημα ουράς"
"Customer attribute to export","Χαρακτηριστικά πελάτη για εξαγωγή"
"Enable customer addresses to export","Ενεργοποίηση εξαγωγής διευθύνσεων πελάτη"
"Enable customer product reviews to export","Ενεργοποίηση εξαγωγής κριτικών πελάτη"
"Address attributes to export","Χαρακτηριστικά διευθύνσεων για εξαγωγή"
"Enable customer orders to export","Ενεργοποίηση εξαγωγής παραγγελιών"
"Order attributes to export","Χαρακτηριστικά παραγγελιών για εξαγωγή"
"Information message for queue processing message","Μήνυμα πληροφοριών για την επεξεργασία εξαγωγής με το σύστημα ουράς"
"limit login attempts to 5 in 30 seconds","Περιορισμός προσπαθειών σύνδεσης σε 5 ανά 30 δευτερόλεπτα"
"Anonymous","Ανώνυμος"
"Enable cookies management","Ενεργοποίηση διαχείρισης μπισκότων (cookies)"
"Policy page","Σελίδα πολιτικής απορρήτου"
"This feature use 'tarteaucitron.js'","Αυτή η λειτουργία χρησιμοποιεί το 'tarteaucitron.js'"
"Main wording banner","Κύριο λεκτικό"
"Wording accept all button","Λεκτικό για το κουμπί: Αποδοχή όλων"
"Wording personalize button","Λεκτικό για το κουμπί: Προσαρμογή"
"Enable Google Analytics service","Ενεργοποίηση Google Analytics"
"Attempts number","Αριθμός προσπαθειών"
"default value, 5 try","προεπιλεγμένη τιμή, 5 προσπάθειες"
"Time blocked","Φορές που αποτράπηκε"
"in minutes, default value 5 minutes","Σε λεπτά, προεπιλεγμένη τιμή 5 λεπτά"
"GDPR rules validity","Εγκυρότητα κανόνων GDPR"
"How this module work ?","Πώς δουλεύει αυτό το module;"
"See documentation","Δείτε την τεκμηρίωση"
"Delay before remove customer data", "Καθυστέρηση πριν την διαγραφή προσωπικών δεδομένων πελάτη"
"Account deleted queue pending message", "Μήνυμα για την αναμονή σε ουρά κατά τη διαγραφή λογαριασμού"
"Email download template", "Πρότυπο Email λήψης"
#############
### FRONT ###
#############
"Your password must contain at least %s characters.","Το συνθηματικό σας θα πρέπει να περιέχει τουλάχιστον %s χαρακτήρες."
"Your password must respect at least 3 of the following conditions: one capital letter, one lowercase letter, one number, one special character and contains at least 8 characters.","Το συνθηματικό σας θα πρέπει να ακολουθεί τουλάχιστον 3 από τις παρακάτω συνθήκες: ένα κεφαλαίο γράμμα, ένα μικρό γράμμα, έναν αριθμό, έναν ειδικό χαρακτήρα και τουλάχιστον 8 χαρακτήρες συνολικά."
"Delete my account","Διαγραφή του λογαριασμού μου"
"Download my account data","Λήψη των προσωπικών μου δεδομένων"
